"About the data: Exported on Jun 01, 2020. Criteria: Text - '""water insecurity"" OR ""water security"" ' in title and abstract. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
49,pub.1126927576,10.1093/oso/9780190948009.003.0002,,,Water Security and Climate Change,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,11-30,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927576,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,
28,pub.1126927582,10.1093/oso/9780190948009.003.0008,,,Water Security and Mass Migration,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,145-164,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927582,16 Studies in Human Society; 1603 Demography,Basic Behavioral and Social Science; Behavioral and Social Science,Generic Health Relevance,,,,C14 Geography and Environmental Studies,"16 Peace, Justice and Strong Institutions"
28,pub.1126927583,10.1093/oso/9780190948009.003.0009,,,Water Security and Technological Innovation,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,165-188,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927583,18 Law and Legal Studies; 1801 Law,Human Genome; Genetics,,,,,C18 Law,6 Clean Water and Sanitation
28,pub.1126927577,10.1093/oso/9780190948009.003.0003,,,Water Security and Public Health,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,31-58,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927577,1108 Medical Microbiology; 11 Medical and Health Sciences,Vector-Borne Diseases; Infectious Diseases,Infection,,,,C14 Geography and Environmental Studies,3 Good Health and Well Being
25,pub.1126927578,10.1093/oso/9780190948009.003.0004,,,Water Security and Human Rights,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,59-82,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927578,18 Law and Legal Studies; 1801 Law,,,,,,C18 Law,
20,pub.1126927581,10.1093/oso/9780190948009.003.0007,,,Water Security and Armed Conflict,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,125-144,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927581,1606 Political Science; 16 Studies in Human Society,,,,,,C14 Geography and Environmental Studies,"16 Peace, Justice and Strong Institutions"
33,pub.1127870825,10.2166/wh.2020.024,,,Sub-optimal household water access is associated with greater risk of intimate partner violence against women: evidence from Nepal,Journal of Water and Health,,IWA Publishing,,2020-05-25,2020,,,,All OA; Bronze,Article,"Choudhary, Neetu",,"Choudhary, Neetu (Arizona State University)",Arizona State University,grid.215654.1,Tempe,Arizona,United States,,,,,,0,0,,,,https://iwaponline.com/jwh/article-pdf/doi/10.2166/wh.2020.024/693527/jwh2020024.pdf,https://app.dimensions.ai/details/publication/pub.1127870825,1117 Public Health and Health Services; 11 Medical and Health Sciences,Basic Behavioral and Social Science; Violence Against Women; Prevention; Violence Research; Mental Health; Behavioral and Social Science,,"2.3 Psychological, social and economic factors",,,"A02 Public Health, Health Services and Primary Care","6 Clean Water and Sanitation; 16 Peace, Justice and Strong Institutions"
17,pub.1127869777,10.1002/wwp2.12021,,,"A geospatial technique‐based site suitability analysis for construction of water reservoirs in Arsha and Balarampur Blocks, Purulia",World Water Policy,,Wiley,,2020-05-25,2020,,,,Closed,Article,"Kar, Surajit; Sen, Ena; Mukherjee, Subham",,"Kar, Surajit (University of Calcutta); Sen, Ena (Institute of Environmental Studies & Wetland Management); Mukherjee, Subham (Free University of Berlin)",Free University of Berlin; University of Calcutta; Institute of Environmental Studies & Wetland Management,grid.14095.39; grid.59056.3f; grid.464850.b,Berlin; Kolkata; Kolkata,; ; ,Germany; India; India,German Academic Exchange Service,,Germany,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127869777,,,,,,,,
42,pub.1127920702,10.3390/w12051490,,,"Hydroclimatic Variability at Local, Regional and Global Scales",Water,,MDPI,,2020-05-23,2020,12,5,1490,All OA; Pure Gold,Article,"Curtis, Scott",,"Curtis, Scott ()",,,,,,,,,,,0,0,,,,https://www.mdpi.com/2073-4441/12/5/1490/pdf,https://app.dimensions.ai/details/publication/pub.1127920702,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,
20,pub.1127705562,10.1007/s00704-020-03219-y,,,Sensitivity exploration of water balance in scenarios of future changes: a case study in an Andean regulated river basin,Theoretical and Applied Climatology,,Springer Nature,,2020-05-18,2020,,,1-14,Closed,Article,"Avilés, Alex; Palacios, Karina; Pacheco, Jheimy; Jiménez, Stalin; Zhiña, Darío; Delgado, Omar","Avilés, Alex (University of Cuenca)","Avilés, Alex (University of Cuenca); Palacios, Karina (University of Cuenca); Pacheco, Jheimy (University of Azuay); Jiménez, Stalin (University of Cuenca); Zhiña, Darío (University of Cuenca); Delgado, Omar (University of Azuay)",University of Azuay; University of Cuenca,grid.442126.7; grid.442123.2,Cuenca; Cuenca,; ,Ecuador; Ecuador,,,,,,0,0,,,14,,https://app.dimensions.ai/details/publication/pub.1127705562,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,B12 Engineering,
15,pub.1127145982,10.1029/2019jd031982,,,Exploring Abrupt Alternations Between Wet and Dry Conditions on the Basis of Historical Observations and Convection‐Permitting Climate Model Simulations,Journal of Geophysical Research: Atmospheres,,American Geophysical Union (AGU),,2020-05-16,2020,125,9,,Closed,Article,"Chen, H.; Wang, S.; Wang, Y.",,"Chen, H. (Hong Kong Polytechnic University); Wang, S. (Hong Kong Polytechnic University; Hong Kong Polytechnic University); Wang, Y. (Texas Tech University)",Texas Tech University; Hong Kong Polytechnic University,grid.264784.b; grid.16890.36,Lubbock; Hong Kong,Texas; ,United States; China,National Natural Science Foundation of China,,China,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127145982,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,,,,,,B07 Earth Systems and Environmental Sciences,13 Climate Action
118,pub.1127850103,10.7189/jogh.10.010355,,,Beyond handwashing: Water insecurity undermines COVID-19 response in developing areas,Journal of Global Health,,International Global Health Society,,2020-05-15,2020,10,1,,All OA; Pure Gold,Article,"Stoler, Justin; Jepson, Wendy E; Wutich, Amber",,"Stoler, Justin (); Jepson, Wendy E (); Wutich, Amber ()",,,,,,,,,,,0,0,,,,https://doi.org/10.7189/jogh.10.010355,https://app.dimensions.ai/details/publication/pub.1127850103,1117 Public Health and Health Services; 11 Medical and Health Sciences,,,,,,,
45,pub.1127600677,10.1088/1757-899x/794/1/012003,,,The Idea and Key Technical Prospect on Integration between Underground Reservoir and Surface Water System,IOP Conference Series Materials Science and Engineering,,IOP Publishing,,2020-05-15,2020,794,1,012003,All OA; Bronze,Article,"Zhou, Li; Liu, Lingxue; Li, Xiaodong; Ao, Tianqi",,"Zhou, Li (Sichuan University; Nanjing Hydraulic Research Institute); Liu, Lingxue (Sichuan University); Li, Xiaodong (Sichuan University); Ao, Tianqi (Sichuan University)",Nanjing Hydraulic Research Institute; Sichuan University,grid.459786.1; grid.13291.38,Nanjing; Chengdu,; ,China; China,,,,,,0,0,,,,https://doi.org/10.1088/1757-899x/794/1/012003,https://app.dimensions.ai/details/publication/pub.1127600677,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,B12 Engineering,
17,pub.1127986454,10.18799/24131830/2020/5/2634,,,МЕТОДОЛОГИЯ УПРАВЛЕНИЯ ГЕОХИМИЧЕСКИМ БАЛАНСОМ ВОДОСБОРОВ НА ТЕРРИТОРИИ ЗАПАДНОЙ СИБИРИ,Izvestiya Tomskogo Politekhnicheskogo Universiteta Inziniring Georesursov,,National Research Tomsk Polytechnic University,,2020-05-15,2020,331,5,28-45,Closed,Article,"Савичев, Олег Геннадьевич; Гусева, Наталья Владимировна",,"Савичев, Олег Геннадьевич (); Гусева, Наталья Владимировна ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127986454,09 Engineering; 0102 Applied Mathematics; 0104 Statistics; 01 Mathematical Sciences; 0907 Environmental Engineering,,,,,,C14 Geography and Environmental Studies,
50,pub.1126594504,10.1080/15715124.2020.1755300,,,Household Water Security Index: development and application in the Awash Basin of Ethiopia,International Journal of River Basin Management,,Taylor & Francis,,2020-05-14,2020,,,1-17,Closed,Article,"Hailu, Reta; Tolossa, Degefa; Alemu, Getnet",,"Hailu, Reta (Hawassa University); Tolossa, Degefa (Addis Ababa University); Alemu, Getnet (Addis Ababa University; Addis Ababa University)",Addis Ababa University; Hawassa University,grid.7123.7; grid.192268.6,Addis Ababa; Awasa,; ,Ethiopia; Ethiopia,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126594504,0602 Ecology; 0502 Environmental Science and Management; 0799 Other Agricultural and Veterinary Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
28,pub.1127592694,10.1061/9780784482940.007,,,"Water Security in Eswatini, Africa",,World Environmental and Water Resources Congress 2020,American Society of Civil Engineers (ASCE),,2020-05-14,2020,,,64-72,All OA; Bronze,Proceeding,"Breverman, Avital L.; Helminiak, Jacob E.; England, Stephen M.",,"Breverman, Avital L. (); Helminiak, Jacob E. (); England, Stephen M. ()",,,,,,,,,,,0,0,,,,https://ascelibrary.org/doi/pdf/10.1061/9780784482940.007,https://app.dimensions.ai/details/publication/pub.1127592694,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,B12 Engineering,
17,pub.1127595036,10.1061/9780784482957.022,,,Optimal Pump Scheduling for the Newly Built São Lourenço Water Supply System in the Metropolitan Region of São Paulo,,World Environmental and Water Resources Congress 2020,American Society of Civil Engineers (ASCE),,2020-05-14,2020,,,220-230,All OA; Bronze,Proceeding,"Mello, Denise B. B.; Piola, Isabella A.; Marins, José C.; Maalouf, Sami; Zambon, Renato C.",,"Mello, Denise B. B. (University of São Paulo); Piola, Isabella A. (University of São Paulo); Marins, José C. (University of São Paulo); Maalouf, Sami (California State University, Northridge); Zambon, Renato C. (University of São Paulo)","University of São Paulo; California State University, Northridge",grid.11899.38; grid.253563.4,São Paulo; Northridge,; California,Brazil; United States,,,,,,0,0,,,,https://ascelibrary.org/doi/pdf/10.1061/9780784482957.022,https://app.dimensions.ai/details/publication/pub.1127595036,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,B12 Engineering,7 Affordable and Clean Energy
60,pub.1127545458,10.2166/nh.2020.014,,,"Identification of regional water security issues in China, using a novel water security comprehensive evaluation model",Hydrology Research,,IWA Publishing,,2020-05-11,2020,,,,All OA; Pure Gold,Article,"Yao, Jiping; Wang, Guoqiang; Xue, Baolin; Xie, Gang; Peng, Yanbo",,"Yao, Jiping (Beijing Normal University); Wang, Guoqiang (Beijing Normal University); Xue, Baolin (Beijing Normal University); Xie, Gang (); Peng, Yanbo ()",Beijing Normal University,grid.20513.35,Beijing,Beijing,China,National Natural Science Foundation of China,,China,grant.8274314,51679006,0,0,,,,https://iwaponline.com/hr/article-pdf/doi/10.2166/nh.2020.014/689031/nh2020014.pdf,https://app.dimensions.ai/details/publication/pub.1127545458,09 Engineering; 0907 Environmental Engineering,,,,,,C19 Politics and International Studies,6 Clean Water and Sanitation
17,pub.1127472895,10.1029/2020gl087820,,,Robust future changes in meteorological drought in CMIP6 projections despite uncertainty in precipitation,Geophysical Research Letters,,American Geophysical Union (AGU),,2020-05-10,2020,,,,Closed,Article,"Ukkola, Anna M.; De Kauwe, Martin G.; Roderick, Michael L.; Abramowitz, Gab; Pitman, Andrew J.",,"Ukkola, Anna M. (Australian National University); De Kauwe, Martin G. (UNSW Sydney; UNSW Sydney); Roderick, Michael L. (Australian National University); Abramowitz, Gab (UNSW Sydney); Pitman, Andrew J. (UNSW Sydney)",UNSW Sydney; Australian National University,grid.1005.4; grid.1001.0,Sydney; Canberra,New South Wales; Australian Capital Territory,Australia; Australia,,,,,,0,0,,,9,,https://app.dimensions.ai/details/publication/pub.1127472895,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,,,,,,B07 Earth Systems and Environmental Sciences,13 Climate Action
20,pub.1127492819,10.3390/su12093829,,,"Streamflow Alterations, Attributions, and Implications in Extended East Rapti Watershed, Central-Southern Nepal",Sustainability,,MDPI,,2020-05-08,2020,12,9,3829,All OA; Pure Gold,Article,"Pandey, Vishnu Prasad; Shrestha, Dibesh; Adhikari, Mina; Shakya, Shristi",,"Pandey, Vishnu Prasad (); Shrestha, Dibesh (); Adhikari, Mina (Nepal Water Conservation Foundation); Shakya, Shristi ()",Nepal Water Conservation Foundation,grid.502040.3,Kathmandu,,Nepal,,,,,,0,0,,,8,https://www.mdpi.com/2071-1050/12/9/3829/pdf,https://app.dimensions.ai/details/publication/pub.1127492819,12 Built Environment and Design,,,,,,B07 Earth Systems and Environmental Sciences,
42,pub.1126835221,10.1080/01495933.2020.1740571,,,Water: The Dragon's Achilles Heel: How water insecurity will prevent the PRC from maintaining global preeminence,Comparative Strategy,,Taylor & Francis,,2020-05-03,2020,39,3,261-276,Closed,Article,"Bradley, Jennifer",,"Bradley, Jennifer (National Institute for Public Policy)",National Institute for Public Policy,grid.472618.e,Fairfax,Virginia,United States,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126835221,1606 Political Science; 16 Studies in Human Society,,,,,,C19 Politics and International Studies,6 Clean Water and Sanitation; 2 Zero Hunger
467,pub.1123048767,10.1016/j.scitotenv.2019.135881,31874751,,"Cash water expenditures are associated with household water insecurity, food insecurity, and perceived stress in study sites across 20 low- and middle-income countries",The Science of The Total Environment,,Elsevier,,2020-05,2020,716,,135881,Closed,Article,"Stoler, Justin; Pearson, Amber L.; Staddon, Chad; Wutich, Amber; Mack, Elizabeth; Brewis, Alexandra; Rosinger, Asher Y.; Network, the Household Water Insecurity Experiences HWISE Research Coordination; Adams, Ellis; Ahmed, Jam Farooq; Alexander, Mallika; Balogun, Mobolanle; Boivin, Michael; Carrillo, Genny; Chapman, Kelly; Cole, Stroma; Collins, Shalean M.; Escobar-Vargas, Jorge; Freeman, Matthew; Asiki, Gershim; Ghattas, Hala; Hagaman, Ashley; Jamaluddine, Zeina; Jepson, Wendy; Maes, Kenneth; Mathad, Jyoti; Mbullo, Patrick; Melgar-Quiñonez, Hugo; Miller, Joshua; Niesluchowski, Monet; Omidvar, Nasrin; Samayoa-Figueroa, Luisa; Sánchez-Rodríguez, E. Cuauhtemoc; Santoso, Marianne V.; Schuster, Roseanne C.; Sullivan, Andrea; Tesfaye, Yihenew; Triviño, Nathaly; Trowell, Alex; Tshala-Katumbay, Desire; Tutu, Raymond A.; Young, Sera L.; Zinab, Hassan","Stoler, Justin (University of Miami; University of Miami)","Stoler, Justin (University of Miami; University of Miami); Pearson, Amber L. (Michigan State University; University of Otago); Staddon, Chad (University of the West of England); Wutich, Amber (Arizona State University); Mack, Elizabeth (Michigan State University); Brewis, Alexandra (Arizona State University); Rosinger, Asher Y. (Pennsylvania State University; Pennsylvania State University); Network, the Household Water Insecurity Experiences HWISE Research Coordination (University of Miami; University of Miami; Michigan State University; University of Otago; University of the West of England; Arizona State University; Pennsylvania State University; Pennsylvania State University); Adams, Ellis (Georgia State University); Ahmed, Jam Farooq (University of Washington); Alexander, Mallika (); Balogun, Mobolanle (University of Lagos); Boivin, Michael (Michigan State University); Carrillo, Genny (Texas A&M University); Chapman, Kelly (University of Florida); Cole, Stroma (University of the West of England); Collins, Shalean M. (); Escobar-Vargas, Jorge (Pontifical Xavierian University); Freeman, Matthew (Emory University); Asiki, Gershim (African Population and Health Research Center); Ghattas, Hala (American University of Beirut); Hagaman, Ashley (Yale University); Jamaluddine, Zeina (American University of Beirut); Jepson, Wendy (Texas A&M University); Maes, Kenneth (Oregon State University); Mathad, Jyoti (Cornell University); Mbullo, Patrick (); Melgar-Quiñonez, Hugo (McGill University); Miller, Joshua (); Niesluchowski, Monet (Arizona State University); Omidvar, Nasrin (Shahid Beheshti University of Medical Sciences); Samayoa-Figueroa, Luisa (McGill University); Sánchez-Rodríguez, E. Cuauhtemoc (); Santoso, Marianne V. (); Schuster, Roseanne C. (Arizona State University); Sullivan, Andrea (University of Miami); Tesfaye, Yihenew (Oregon State University); Triviño, Nathaly (Pontifical Xavierian University); Trowell, Alex (University of Amsterdam); Tshala-Katumbay, Desire (Oregon Health & Science University); Tutu, Raymond A. (Delaware State University); Young, Sera L. (); Zinab, Hassan (Shahid Beheshti University of Medical Sciences)",University of Washington; American University of Beirut; Cornell University; University of the West of England; Shahid Beheshti University of Medical Sciences; Oregon State University; Georgia State University; University of Amsterdam; University of Otago; Delaware State University; Emory University; McGill University; Pennsylvania State University; University of Lagos; Arizona State University; University of Miami; African Population and Health Research Center; Michigan State University; Texas A&M University; Oregon Health & Science University; Yale University; University of Florida; Pontifical Xavierian University,grid.34477.33; grid.22903.3a; grid.5386.8; grid.6518.a; grid.411600.2; grid.4391.f; grid.256304.6; grid.7177.6; grid.29980.3a; grid.254989.b; grid.189967.8; grid.14709.3b; grid.29857.31; grid.411782.9; grid.215654.1; grid.26790.3a; grid.413355.5; grid.17088.36; grid.264756.4; grid.5288.7; grid.47100.32; grid.15276.37; grid.41312.35,Seattle; Beirut; Ithaca; Bristol; Tehran; Corvallis; Atlanta; Amsterdam; Dunedin; Dover; Atlanta; Montreal; State College; Lagos; Tempe; Coral Gables; Nairobi; East Lansing; College Station; Portland; New Haven; Gainesville; Bogotá,Washington; ; New York; South Gloucestershire; ; Oregon; Georgia; Noord-Holland; ; Delaware; Georgia; Quebec; Pennsylvania; Lagos; Arizona; Florida; ; Michigan; Texas; Oregon; Connecticut; Florida; ,United States; Lebanon; United States; United Kingdom; Iran; United States; United States; Netherlands; New Zealand; United States; United States; Canada; United States; Nigeria; United States; United States; Kenya; United States; United States; United States; United States; United States; Colombia,"National Institute of Mental Health; Directorate for Biological Sciences; Directorate for Social, Behavioral & Economic Sciences; National Institute of Environmental Health Sciences",ICRP; NIH; NSF,United States; United States; United States; United States,grant.4177982; grant.7672643; grant.2405254; grant.4898680; grant.2504148; grant.6504334,1462086; R01ES019841; R21MH108444; 1759972; K01MH098902; 1637590,3,3,,,5,,https://app.dimensions.ai/details/publication/pub.1123048767,1402 Applied Economics; 14 Economics,Behavioral and Social Science; Clinical Research,,,,,C17 Business and Management Studies,2 Zero Hunger
